Layer,Median,5thPerc,95thPerc
0,0.015019595623,0.00886131227016,0.0209482163191
1,0.0278193056583,0.0141466468573,0.0439645260572
2,0.0330193638802,0.019261315465,0.052600941062
3,0.0684044063091,0.0383490920067,0.114302322268
4,0.117107689381,0.0649208366871,0.224525526166
5,0.0896586477757,0.0470421522856,0.172312670946
6,0.0917495787144,0.0462473511696,0.200239384174
7,0.0817598700523,0.0387948215008,0.173973923922
8,0.0875148773193,0.0392509281635,0.193483433127
9,0.0886821448803,0.0414317309856,0.200675863028
10,0.0843266546726,0.0428363054991,0.200458532572
11,0.0853853523731,0.0393966138363,0.184427547455
12,0.0945127904415,0.0416386395693,0.208172640204
13,0.0879620015621,0.0412731647491,0.187249207497
14,0.0862586796284,0.0391994446516,0.186487063766
15,0.0840468406677,0.0373189091682,0.169802817702
16,0.0756605863571,0.0364361345768,0.172063231468
17,0.109050661325,0.0509296506643,0.230409771204
18,0.106784939766,0.0495295286179,0.242792072892
19,0.094279229641,0.0424508035183,0.217570215464
20,0.097535520792,0.0412121027708,0.21906028688
21,0.0978273451328,0.0410221606493,0.229684898257
22,0.0879308879375,0.0368917584419,0.194312691689
23,0.0926286876202,0.0355924546719,0.213123553991
24,0.0837095379829,0.0331921905279,0.207247841358
25,0.0772659182549,0.0277739405632,0.182905107737
26,0.078043371439,0.0263492465019,0.177415561676
27,0.0563824474812,0.0187051087618,0.139515653253
28,0.0585592091084,0.0167635172606,0.158386072516
29,0.0641864538193,0.0159561604261,0.146007367969
30,0.0488815307617,0.0139842927456,0.128189682961
31,5.75184822083e-06,-1.19209289551e-07,0.351915255189
