Layer,Median,5thPerc,95thPerc
0,0.00141221284866,0.00066542327404,0.00288279354572
1,0.00337207317352,0.00168793797493,0.0060785472393
2,0.00473463535309,0.00245879888535,0.00862301290035
3,0.0151989758015,0.00842898488045,0.0277696967125
4,0.0314223468304,0.0165611386299,0.0734343647957
5,0.0240488052368,0.0134970009327,0.048922291398
6,0.0355367660522,0.0221684843302,0.0720956742764
7,0.0402401685715,0.0237922906876,0.0769736260176
8,0.0498600304127,0.0282319009304,0.0916168063879
9,0.0493776500225,0.0289416670799,0.0957287311554
10,0.0508521199226,0.0274683654308,0.1023244977
11,0.0547619760036,0.028281211853,0.100674581528
12,0.0597549080849,0.0332410246134,0.115995308757
13,0.0603387951851,0.0310923010111,0.113745576143
14,0.0691350400448,0.0346837252378,0.123258304596
15,0.0619084835052,0.0318133473396,0.118260666728
16,0.066282749176,0.0336731284857,0.12824665308
17,0.078034132719,0.0420198470354,0.142285907269
18,0.103141695261,0.0600058376789,0.189199408889
19,0.112639933825,0.0618408292532,0.196757593751
20,0.129668772221,0.0755463570356,0.222906759381
21,0.146244883537,0.0814309835434,0.240748339891
22,0.168381005526,0.0885335475206,0.270696908236
23,0.229565769434,0.133697003126,0.360496139526
24,0.230269223452,0.115348443389,0.331564238667
25,0.308541417122,0.182952085137,0.419644281268
26,0.322935044765,0.192016354203,0.466817891598
27,0.366434037685,0.252769103646,0.510299469531
28,0.359083741903,0.222102978826,0.555208185315
29,0.39493611455,0.234690314531,0.562113294005
30,0.40895602107,0.305378970504,0.507944455743
31,0.993563349824,0.991920976434,0.995223398204
