Layer,Median,5thPerc,95thPerc
0,0.0185147821903,0.0116569072008,0.0250708788633
1,0.0378657877445,0.019872841239,0.0548577338457
2,0.0497171878815,0.0304951429367,0.0758335202932
3,0.112457722425,0.0636693000793,0.166916894913
4,0.198874861002,0.108433827758,0.327939072251
5,0.143708050251,0.0799262881279,0.237881034613
6,0.155198007822,0.0834481716156,0.284157714248
7,0.14493766427,0.0748265385628,0.245682007074
8,0.153491556644,0.0851294159889,0.272670161724
9,0.159265816212,0.0867131322622,0.288987240195
10,0.153594702482,0.0849102258682,0.278236523271
11,0.152903854847,0.0874333143234,0.270758843422
12,0.167543530464,0.0972360193729,0.303470617533
13,0.161234885454,0.0937272161245,0.275602531433
14,0.16375669837,0.093964651227,0.256566005945
15,0.157629579306,0.0918493777514,0.273561763763
16,0.148942738771,0.0890042573214,0.261818939447
17,0.196278989315,0.117152178288,0.338208687305
18,0.213640719652,0.130904889107,0.362891957164
19,0.200518876314,0.11895288825,0.349697425961
20,0.21866312623,0.13214982748,0.375122886896
21,0.226547330618,0.132216146588,0.365794828534
22,0.22156649828,0.140188607574,0.348769950867
23,0.266247540712,0.150339621305,0.421807256341
24,0.253508001566,0.149785244465,0.381183895469
25,0.29417604208,0.187491872907,0.439620283246
26,0.294483989477,0.170783895254,0.449783915281
27,0.29247123003,0.135585004091,0.44003700316
28,0.309800088406,0.138843426108,0.463727682829
29,0.332569241524,0.168741902709,0.51421789825
30,0.302758574486,0.18675955832,0.4564920187
31,0.969156938605,0.0812423676252,0.9996555773
