Layer,Median,5thPerc,95thPerc
0,0.180430204267,0.139758120935,0.209431627855
1,0.251404729351,0.194903434555,0.296618140375
2,0.289990691555,0.24376776882,0.327693038518
3,0.391418354587,0.343322917789,0.435278163096
4,0.396455974397,0.346007623065,0.44597019664
5,0.250657905589,0.217448565323,0.291995840801
6,0.196565191956,0.166779144009,0.234838197429
7,0.210767758221,0.178284726841,0.250964431018
8,0.241062482082,0.201700652418,0.296323324582
9,0.242950208036,0.202345541735,0.300926829035
10,0.231354524147,0.198835117347,0.277458007459
11,0.233587225759,0.195784403947,0.284876298738
12,0.244245913747,0.207253222676,0.292684921672
13,0.241695536126,0.206651481503,0.289559244946
14,0.236818407769,0.198612367166,0.288164569727
15,0.24983278033,0.208474600274,0.30982979188
16,0.210567559048,0.174467523525,0.257835877252
17,0.291714603708,0.244262784316,0.358887025039
18,0.248388836589,0.197092130028,0.313968215099
19,0.234305368738,0.177560430571,0.315699894477
20,0.25401682636,0.187704950012,0.341954856616
21,0.243458792285,0.183502985643,0.322607078827
22,0.231119645438,0.170828250939,0.315546449984
23,0.243256433717,0.165106389717,0.346415187559
24,0.228476826736,0.160796452922,0.321239544187
25,0.236664921349,0.161941595127,0.330216036048
26,0.216781437128,0.141217859994,0.312879272677
27,0.169267507805,0.108352373837,0.256179665761
28,0.173930108452,0.106497400536,0.270605453963
29,0.212721082201,0.101941322329,0.368929223536
30,0.147125672448,0.0840683026325,0.236783979655
31,0.315278415831,4.47547334543e-05,0.934533802752
