Layer,Median,5thPerc,95thPerc
0,0.0673803282177,0.0408827444311,0.0947787613844
1,0.111347050808,0.0663602650186,0.156434299007
2,0.124310708303,0.0776092016074,0.167515027344
3,0.242692980294,0.145516130167,0.353017576218
4,0.289692647601,0.163614802103,0.42833531145
5,0.249211449115,0.140764972446,0.406183222868
6,0.226764643274,0.120876733436,0.349901638096
7,0.239707449367,0.123954154166,0.377841116026
8,0.25430523647,0.138621224406,0.407924029683
9,0.262638020434,0.139423954614,0.416522217985
10,0.250006462827,0.138521565483,0.374858234623
11,0.257865076647,0.147005950034,0.376953860039
12,0.28010250473,0.156075910634,0.414607758896
13,0.254545497938,0.145280160299,0.380759541027
14,0.252738316038,0.146068675283,0.36671214214
15,0.246544548685,0.146956154066,0.394106040802
16,0.228202396441,0.126001086223,0.353429727327
17,0.311379616992,0.17607705243,0.463669800425
18,0.306377576619,0.165286379023,0.492313851638
19,0.274491579299,0.154472917783,0.446797571612
20,0.282994232517,0.154409491827,0.45994002484
21,0.286215597698,0.154042234085,0.472125172634
22,0.278087983204,0.135187720287,0.432877821092
23,0.308462791764,0.136476346232,0.475747599701
24,0.277784587404,0.138543270619,0.465422571746
25,0.290667383157,0.127341941039,0.453784503013
26,0.280059312583,0.105166889724,0.433468156357
27,0.241987380699,0.0789270698206,0.417841964316
28,0.257360626146,0.0830743075508,0.446157603978
29,0.243415766506,0.0833635431114,0.471516200794
30,0.222364770135,0.0715919843191,0.41369585088
31,0.0141060672241,7.60515761478e-11,0.9956074093
